id,table_id,record_id,title
0,0,1,Grade: 10 | School: John Muir | Year: 2003
1,0,2,Grade: 10 | School: John Muir | Year: 2003
2,0,3,Grade: 10 Group: Males # Subgroup Tested: 107
3,0,4,Test: CST English-Language Arts MSS: 337.3 Pct. Prof: 38
4,0,15,Test: CST World History MSS: 303.6 Pct. Prof: 15
5,0,18,Test: CST Chemistry MSS: 288.5 Pct. Prof: 0
6,0,29,Grade: 10 Group: Females # Subgroup Tested: 123
7,0,30,Test: CST English-Language Arts MSS: 344 Pct. Prof: 40
8,0,41,Test: CST World History MSS: 306.5 Pct. Prof: 20
9,0,44,Test: CST Chemistry MSS: 300.2 Pct. Prof: 13
10,0,55,Grade: 10 Group: Black/African-American # Subgroup Tested: 0
11,0,81,Grade: 10 Group: Asian # Subgroup Tested: 0
12,0,107,Grade: 10 Group: Hispanic/Latino # Subgroup Tested: 0
13,0,133,Grade: 10 Group: Caucasian # Subgroup Tested: 0
14,0,159,Grade: 10 | School: Serra High | Year: 2003
15,0,160,Grade: 10 | School: Serra High | Year: 2003
16,0,161,Grade: 10 Group: Males # Subgroup Tested: 701
17,0,162,Test: CST English-Language Arts MSS: 326.1 Pct. Prof: 36
18,0,165,Test: CST Integrated Math 1 MSS: 276.3 Pct. Prof: 7
19,0,166,Test: CST Geometry MSS: 270.7 Pct. Prof: 2
20,0,168,Test: CST Algebra II MSS: 313.8 Pct. Prof: 22
21,0,173,Test: CST World History MSS: 326.4 Pct. Prof: 35
22,0,175,Test: CST Biology MSS: 324.5 Pct. Prof: 30
23,0,187,Grade: 10 Group: Females # Subgroup Tested: 728
24,0,188,Test: CST English-Language Arts MSS: 336.6 Pct. Prof: 41
25,0,191,Test: CST Integrated Math 1 MSS: 269 Pct. Prof: 0
26,0,192,Test: CST Geometry MSS: 271.7 Pct. Prof: 3
27,0,194,Test: CST Algebra II MSS: 322 Pct. Prof: 39
28,0,199,Test: CST World History MSS: 316.8 Pct. Prof: 24
29,0,201,Test: CST Biology MSS: 323.8 Pct. Prof: 23
30,0,202,Test: CST Chemistry MSS: 315.4 Pct. Prof: 5
31,0,213,Grade: 10 Group: Black/African-American # Subgroup Tested: 0
32,0,239,Grade: 10 Group: Asian # Subgroup Tested: 0
33,0,265,Grade: 10 Group: Hispanic/Latino # Subgroup Tested: 0
34,0,291,Grade: 10 Group: Caucasian # Subgroup Tested: 0
35,0,317,Grade: 10 | School: Mira Mesa High | Year: 2003
36,0,318,Grade: 10 | School: Mira Mesa High | Year: 2003
37,0,319,Grade: 10 Group: Males # Subgroup Tested: 985
38,0,320,Test: CST English-Language Arts MSS: 334.5 Pct. Prof: 44
39,0,322,Test: CST Algebra I MSS: 276.7 Pct. Prof: 7
40,0,323,Test: CST Integrated Math 1 MSS: 311.8 Pct. Prof: 9
41,0,324,Test: CST Geometry MSS: 301.3 Pct. Prof: 13
42,0,326,Test: CST Algebra II MSS: 341.1 Pct. Prof: 42
43,0,331,Test: CST World History MSS: 327.3 Pct. Prof: 33
44,0,333,Test: CST Biology MSS: 324.4 Pct. Prof: 29
45,0,334,Test: CST Chemistry MSS: 327.4 Pct. Prof: 29
46,0,336,Test: CST Physics MSS: 301.1 Pct. Prof: 21
47,0,345,Grade: 10 Group: Females # Subgroup Tested: 827
48,0,346,Test: CST English-Language Arts MSS: 343.7 Pct. Prof: 48
49,0,348,Test: CST Algebra I MSS: 270.4 Pct. Prof: 0
50,0,349,Test: CST Integrated Math 1 MSS: 313.8 Pct. Prof: 25
51,0,350,Test: CST Geometry MSS: 294.3 Pct. Prof: 9
52,0,352,Test: CST Algebra II MSS: 332.5 Pct. Prof: 35
53,0,357,Test: CST World History MSS: 319.3 Pct. Prof: 24
54,0,359,Test: CST Biology MSS: 326.2 Pct. Prof: 29
55,0,360,Test: CST Chemistry MSS: 319.8 Pct. Prof: 17
56,0,362,Test: CST Physics MSS: 281.9 Pct. Prof: 0
57,0,371,Grade: 10 Group: Black/African-American # Subgroup Tested: 0
58,0,397,Grade: 10 Group: Asian # Subgroup Tested: 0
59,0,423,Grade: 10 Group: Hispanic/Latino # Subgroup Tested: 0
60,0,449,Grade: 10 Group: Caucasian # Subgroup Tested: 0
61,0,475,Grade: 10 | School: Twain High | Year: 2003
62,0,476,Grade: 10 | School: Twain High | Year: 2003
63,0,477,Grade: 10 Group: Males # Subgroup Tested: 162
64,0,478,Test: CST English-Language Arts MSS: 285.2 Pct. Prof: 17
65,0,480,Test: CST Algebra I MSS: 261.8 Pct. Prof: 0
66,0,482,Test: CST Geometry MSS: 278.1 Pct. Prof: 0
67,0,489,Test: CST World History MSS: 282.9 Pct. Prof: 9
68,0,503,Grade: 10 Group: Females # Subgroup Tested: 154
69,0,504,Test: CST English-Language Arts MSS: 302.6 Pct. Prof: 12
70,0,506,Test: CST Algebra I MSS: 257.9 Pct. Prof: 0
71,0,508,Test: CST Geometry MSS: 255.3 Pct. Prof: 0
72,0,515,Test: CST World History MSS: 279.2 Pct. Prof: 5
73,0,517,Test: CST Biology MSS: 304.8 Pct. Prof: 8
74,0,529,Grade: 10 Group: Black/African-American # Subgroup Tested: 0
75,0,555,Grade: 10 Group: Asian # Subgroup Tested: 0
76,0,581,Grade: 10 Group: Hispanic/Latino # Subgroup Tested: 0
77,0,607,Grade: 10 Group: Caucasian # Subgroup Tested: 0
78,0,633,Grade: 10 | School: University City High | Year: 2003
79,0,634,Grade: 10 | School: University City High | Year: 2003
80,0,635,Grade: 10 Group: Males # Subgroup Tested: 703
81,0,636,Test: CST English-Language Arts MSS: 338 Pct. Prof: 46
82,0,638,Test: CST Algebra I MSS: 261.2 Pct. Prof: 0
83,0,640,Test: CST Geometry MSS: 280.9 Pct. Prof: 4
84,0,642,Test: CST Algebra II MSS: 320 Pct. Prof: 32
85,0,644,Test: CST Summative High School Mathematics MSS: 384.9 Pct. Prof: 71
86,0,647,Test: CST World History MSS: 328.1 Pct. Prof: 34
87,0,649,Test: CST Biology MSS: 334.4 Pct. Prof: 40
88,0,650,Test: CST Chemistry MSS: 356.8 Pct. Prof: 55
89,0,652,Test: CST Physics MSS: 315.6 Pct. Prof: 16
90,0,661,Grade: 10 Group: Females # Subgroup Tested: 694
91,0,662,Test: CST English-Language Arts MSS: 345.3 Pct. Prof: 50
92,0,664,Test: CST Algebra I MSS: 261.4 Pct. Prof: 0
93,0,666,Test: CST Geometry MSS: 282.7 Pct. Prof: 2
94,0,668,Test: CST Algebra II MSS: 310.5 Pct. Prof: 23
95,0,670,Test: CST Summative High School Mathematics MSS: 370.8 Pct. Prof: 54
96,0,673,Test: CST World History MSS: 316.6 Pct. Prof: 25
97,0,675,Test: CST Biology MSS: 337.5 Pct. Prof: 39
98,0,676,Test: CST Chemistry MSS: 332.3 Pct. Prof: 29
99,0,678,Test: CST Physics MSS: 300 Pct. Prof: 21
100,0,687,Grade: 10 Group: Black/African-American # Subgroup Tested: 0
101,0,713,Grade: 10 Group: Asian # Subgroup Tested: 0
102,0,739,Grade: 10 Group: Hispanic/Latino # Subgroup Tested: 0
103,0,765,Grade: 10 Group: Caucasian # Subgroup Tested: 0
104,0,791,Grade: 10 | School: No Name Available | Year: 2003
