id,channel_id,track_id,attribute,track_table_id,ch_map_table_id,record_id
0,1,0,translate_x,0,0,0
1,1,1,translate_y,0,0,0
2,1,2,translate_z,0,0,0
3,2,3,translate_x,0,0,0
4,2,4,translate_z,0,0,0
5,3,5,translate_x,0,0,0
6,3,6,translate_z,0,0,0
7,4,7,translate_x,0,0,0
8,4,8,translate_z,0,0,0
9,11,9,translate_x,0,0,0
10,11,10,translate_y,0,0,0
11,11,11,translate_z,0,0,0
12,12,12,translate_x,0,0,0
13,12,13,translate_z,0,0,0
14,13,14,translate_x,0,0,0
15,13,15,translate_z,0,0,0
16,14,16,translate_x,0,0,0
17,14,17,translate_z,0,0,0
18,21,18,translate_x,0,0,0
19,21,19,translate_y,0,0,0
20,21,20,translate_z,0,0,0
21,22,21,translate_x,0,0,0
22,22,22,translate_z,0,0,0
23,23,23,translate_x,0,0,0
24,23,24,translate_z,0,0,0
25,24,25,translate_x,0,0,0
26,24,26,translate_z,0,0,0
27,31,27,translate_x,0,0,0
28,31,28,translate_y,0,0,0
29,31,29,translate_z,0,0,0
30,32,30,translate_x,0,0,0
31,32,31,translate_z,0,0,0
32,33,32,translate_x,0,0,0
33,33,33,translate_z,0,0,0
34,34,34,translate_x,0,0,0
35,34,35,translate_z,0,0,0
36,41,36,translate_x,0,0,0
37,41,37,translate_y,0,0,0
38,41,38,translate_z,0,0,0
39,42,39,translate_x,0,0,0
40,42,40,translate_z,0,0,0
41,43,41,translate_x,0,0,0
42,43,42,translate_z,0,0,0
43,44,43,translate_x,0,0,0
44,44,44,translate_z,0,0,0
45,51,45,translate_x,0,0,0
46,51,46,translate_y,0,0,0
47,51,47,translate_z,0,0,0
48,52,48,translate_x,0,0,0
49,52,49,translate_z,0,0,0
50,53,50,translate_x,0,0,0
51,53,51,translate_z,0,0,0
52,54,52,translate_x,0,0,0
53,54,53,translate_z,0,0,0
54,61,54,translate_x,0,0,0
55,61,55,translate_y,0,0,0
56,61,56,translate_z,0,0,0
57,62,57,translate_x,0,0,0
58,62,58,translate_z,0,0,0
59,63,59,translate_x,0,0,0
60,63,60,translate_z,0,0,0
61,64,61,translate_x,0,0,0
62,64,62,translate_z,0,0,0
63,71,63,translate_x,0,0,0
64,71,64,translate_y,0,0,0
65,71,65,translate_z,0,0,0
66,72,66,translate_x,0,0,0
67,72,67,translate_z,0,0,0
68,73,68,translate_x,0,0,0
69,73,69,translate_z,0,0,0
70,74,70,translate_x,0,0,0
71,74,71,translate_z,0,0,0
72,81,72,translate_x,0,0,0
73,81,73,translate_y,0,0,0
74,81,74,translate_z,0,0,0
75,82,75,translate_x,0,0,0
76,82,76,translate_z,0,0,0
77,83,77,translate_x,0,0,0
78,83,78,translate_z,0,0,0
79,84,79,translate_x,0,0,0
80,84,80,translate_z,0,0,0
81,91,81,translate_x,0,0,0
82,91,82,translate_y,0,0,0
83,91,83,translate_z,0,0,0
84,92,84,translate_x,0,0,0
85,92,85,translate_z,0,0,0
86,93,86,translate_x,0,0,0
87,93,87,translate_z,0,0,0
88,94,88,translate_x,0,0,0
89,94,89,translate_z,0,0,0
90,101,90,translate_x,0,0,0
91,101,91,translate_y,0,0,0
92,101,92,translate_z,0,0,0
93,102,93,translate_x,0,0,0
94,102,94,translate_z,0,0,0
95,103,95,translate_x,0,0,0
96,103,96,translate_z,0,0,0
97,104,97,translate_x,0,0,0
98,104,98,translate_z,0,0,0
99,111,99,translate_x,0,0,0
100,111,100,translate_y,0,0,0
101,111,101,translate_z,0,0,0
102,112,102,translate_x,0,0,0
103,112,103,translate_z,0,0,0
104,113,104,translate_x,0,0,0
105,113,105,translate_z,0,0,0
106,114,106,translate_x,0,0,0
107,114,107,translate_z,0,0,0
108,121,108,translate_x,0,0,0
109,121,109,translate_y,0,0,0
110,121,110,translate_z,0,0,0
111,122,111,translate_x,0,0,0
112,122,112,translate_z,0,0,0
113,123,113,translate_x,0,0,0
114,123,114,translate_z,0,0,0
115,124,115,translate_x,0,0,0
