id,channel_id,track_id,attribute,track_table_id,ch_map_table_id,record_id
0,1,1,translate_z,0,0,0
1,2,2,translate_z,0,0,0
2,3,3,translate_z,0,0,0
3,4,4,translate_z,0,0,0
4,5,5,translate_z,0,0,0
5,6,6,translate_z,0,0,0
6,7,7,translate_z,0,0,0
7,8,8,translate_z,0,0,0
8,9,9,translate_z,0,0,0
9,10,10,translate_z,0,0,0
10,11,11,translate_z,0,0,0
11,12,12,translate_z,0,0,0
12,13,13,translate_z,0,0,0
13,14,14,translate_z,0,0,0
14,15,15,translate_z,0,0,0
15,16,16,translate_z,0,0,0
16,17,17,translate_z,0,0,0
17,18,18,translate_z,0,0,0
18,19,19,translate_z,0,0,0
19,20,20,translate_z,0,0,0
20,21,21,translate_z,0,0,0
21,22,22,translate_z,0,0,0
22,23,23,translate_z,0,0,0
23,24,24,translate_z,0,0,0
24,25,25,translate_z,0,0,0
25,26,26,translate_z,0,0,0
26,27,27,translate_z,0,0,0
27,28,28,translate_z,0,0,0
28,29,29,translate_z,0,0,0
29,30,30,translate_z,0,0,0
30,31,31,translate_z,0,0,0
31,32,32,translate_z,0,0,0
32,33,33,translate_z,0,0,0
33,34,34,translate_z,0,0,0
34,35,35,translate_z,0,0,0
35,36,36,translate_z,0,0,0
36,37,37,translate_z,0,0,0
37,38,38,translate_z,0,0,0
38,39,39,translate_z,0,0,0
39,40,40,translate_z,0,0,0
40,41,41,translate_z,0,0,0
41,42,42,translate_z,0,0,0
42,43,43,translate_z,0,0,0
43,44,44,translate_z,0,0,0
44,45,45,translate_z,0,0,0
45,46,46,translate_z,0,0,0
46,47,47,translate_z,0,0,0
47,48,48,translate_z,0,0,0
48,49,49,translate_z,0,0,0
49,50,50,translate_z,0,0,0
50,51,51,translate_z,0,0,0
51,52,52,translate_z,0,0,0
52,53,53,translate_z,0,0,0
53,54,54,translate_z,0,0,0
54,55,55,translate_z,0,0,0
55,56,56,translate_z,0,0,0
56,57,57,translate_z,0,0,0
57,58,58,translate_z,0,0,0
58,59,59,translate_z,0,0,0
59,60,60,translate_z,0,0,0
60,61,61,translate_z,0,0,0
61,62,62,translate_z,0,0,0
62,63,63,translate_z,0,0,0
63,64,64,translate_z,0,0,0
